Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,4.51,Ballantine Books,Hardcover,476,2021,2021,,2023/11/25,to-read,to-read (#35),to-read,,,,0,0
46945,Requiem for a Dream,Hubert Selby Jr.,"Jr., Hubert Selby","Darren Aronofsky, Richard Price","=""1560252480""","=""9781560252481""",0,4.11,Da Capo Press,Paperback,279,1999,1978,,2023/11/24,to-read,to-read (#34),to-read,,,,0,0
196439808,Study for Obedience,Sarah Bernstein,"Bernstein, Sarah",,"=""""","=""9781783789931""",3,3.04,Granta,Hardcover,196,,2023,2023/11/23,2023/11/19,,,read,,,,1,0
43225180,Verity,Colleen Hoover,"Hoover, Colleen",,"=""1791392792""","=""9781791392796""",3,4.31,Independently published,Paperback,323,2018,2018,2023/11/19,2022/09/07,,,read,,,,1,0
123182423,Down the Drain,Julia   Fox,"Fox, Julia",,"=""1797164147""","=""9781797164144""",5,4.39,Simon  Schuster Audio,Audiobook,,2023,2023,2023/11/16,2023/10/30,,,read,,,,1,0
144715767,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1408728516""","=""9781408728512""",2,4.32,Bookouture,Paperback,325,2023,2022,2023/11/15,2023/11/04,,,read,,,,1,0
26827675,Troublemaker: Surviving Hollywood and Scientology,Leah Remini,"Remini, Leah",Rebecca Paley,"=""110188696X""","=""9781101886960""",4,4.06,Ballantine Books ,Hardcover,256,2015,2015,2023/11/10,2023/07/01,,,read,,,,1,0
40605223,I'm Thinking of Ending Things,Iain Reid,"Reid, Iain",,"=""""","=""""",0,3.55,Gallery/Scout Press,Kindle Edition,241,2016,2016,,2023/11/06,to-read,to-read (#32),to-read,,,,0,0
63017297,My Husband,Maud Ventura,"Ventura, Maud",Emma Ramadan,"=""0063274825""","=""9780063274822""",0,3.67,HarperVia,Hardcover,272,2023,2021,,2023/11/06,to-read,to-read (#31),to-read,,,,0,0
67992925,It Ends At Midnight,Tyce  Harriet,"Harriet, Tyce",,"=""1472280113""","=""9781472280114""",3,3.47,HACHETTE,Paperback,327,2022,2020,2023/11/02,2023/07/01,,,read,,,,1,0
63132652,The Woman in Me,Britney Spears,"Spears, Britney",Michelle       Williams,"=""1797159518""","=""9781797159515""",4,3.86,Simon & Schuster Audio,Audiobook,6,2023,2023,2023/10/30,2023/10/24,,,read,,,,1,0
43323704,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""1472154665""","=""9781472154668""",4,4.38,Corsair,Paperback,374,2019,2018,2023/10/26,2023/10/15,,,read,,,,1,0
49060,Emotion: The Science of Sentiment,Dylan Evans,"Evans, Dylan",,"=""0192853767""","=""9780192853769""",0,3.64,Oxford University Press,Paperback,224,2002,2001,,2023/10/15,to-read,to-read (#30),to-read,,,,0,0
60775181,"Really Good, Actually",Monica Heisey,"Heisey, Monica",,"=""0008511721""","=""9780008511722""",4,3.15,Fourth Estate,Hardcover,376,2023,2023,2023/10/14,2023/07/23,books-from-alex,books-from-alex (#18),read,,,,1,0
55454050,Small Pleasures,Clare Chambers,"Chambers, Clare",,"=""147461390X""","=""9781474613903""",4,3.77,Orion Publishing Co,Paperback,368,2021,2021,2023/10/05,2023/07/23,books-from-alex,books-from-alex (#16),read,,,,1,0
61634101,The Memory of Animals,Claire Fuller,"Fuller, Claire",,"=""0241614821""","=""9780241614822""",4,3.60,Fig Tree,Hardcover,320,2023,2023,2023/09/23,2023/07/23,books-from-alex,books-from-alex (#15),read,,,,1,0
59582024,Do No Harm,Jack   Jordan,"Jordan, Jack",,"=""1398505676""","=""9781398505674""",3,3.87,Simon Schuster UK,Hardcover,432,2022,2022,2023/09/14,2023/07/14,books-from-harry,books-from-harry (#1),read,,,,1,0
59616037,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""1529033799""","=""9781529033793""",4,4.26,Pan Macmillan,Paperback,242,2022,2021,2023/09/07,2023/07/23,books-from-alex,books-from-alex (#17),read,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""""","=""""",4,4.15,Knopf,Hardcover,401,2022,2022,2023/08/24,2023/07/14,books-from-alex,books-from-alex (#19),read,,,,1,0
59586576,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0753827662""","=""9780753827666""",4,4.14,Phoenix,Mass Market Paperback,496,2021,2012,2023/07/22,2023/07/01,,,read,,,,1,0
